,AUC Score,ACC Score,Sum
Af,0.5366,0.978,1.5146
oPDCF,0.5364,0.978,1.5144
COH1,0.5334,0.9601,1.4935
COH2,0.532,0.9601,1.4921
GC,0.5171,0.978,1.4951
DC1,0.5161,0.978,1.4941
PCorrU,0.5136,0.9601,1.4737
GGC,0.513,0.978,1.491
CondGC,0.5109,0.978,1.4889
DTF,0.5102,0.978,1.4882
ffDTF,0.5102,0.978,1.4882
GPDG,0.5087,0.978,1.4867
PGC,0.5073,0.978,1.4853
BCohW,0,0,0
PCohW,0,0,0
pCOH1,0,0,0
