""	"Gene1"	"Gene2"	"Gene3"	"Gene4"	"Gene5"	"Gene6"	"Gene7"	"Gene8"	"Gene9"	"Gene10"	"Gene11"	"Gene12"	"Gene13"	"Gene14"	"Gene15"	"Gene16"	"Gene17"	"Gene18"	"Gene19"	"Gene20"	"Gene21"	"Gene22"	"Gene23"	"Gene24"	"Gene25"	"Gene26"	"Gene27"	"Gene28"	"Gene29"	"Gene30"	"Gene31"	"Gene32"	"Gene33"	"Gene34"	"Gene35"	"Gene36"	"Gene37"	"Gene38"	"Gene39"	"Gene40"	"Gene41"	"Gene42"	"Gene43"	"Gene44"	"Gene45"	"Gene46"	"Gene47"	"Gene48"
"14"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"
"15"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"
"16"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"
"17"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"
"18"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"
"19"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"
"20"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"
"21"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"
"22"	" 1"	" 1"	" 0"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"
"23"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"
"24"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"
"25"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"
"26"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"
"27"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"
"28"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"
"29"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"
"30"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"
"31"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"
"32"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"
"33"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 0"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"
"34"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 0"	" 0"	" 0"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 1"	" 0"
"35"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 1"	" 0"
"36"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"
"37"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"
"38"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"
"39"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 0"
"40"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"
"41"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"
"42"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"
"43"	" 0"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"
"44"	" 0"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"
"45"	" 0"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"
"46"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"
"47"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"
"48"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"
"49"	" 1"	" 0"	" 1"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"
"50"	" 0"	" 0"	" 1"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"
"51"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"
"52"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"
"53"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"
"54"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 1"
"55"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"
"56"	" 0"	" 0"	" 0"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 1"	" 0"	" 1"	" 1"	" 1"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 1"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 0"	" 0"	" 1"	" 1"	" 1"	" 0"	" 0"
